Ciudad,Comentario,Categoría del problema,Categoria_Numerica,Nuevo Nivel de Urgencia,Fecha del reporte
pereira,queremos mas presencia policial,Seguridad,3,2,2024 04 11
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 07 09
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 11 07
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 10 31
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 07 17
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 05 14
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 02 24
manizales,queremos mas presencia policial,Seguridad,3,1,2024 03 29
medellin,queremos mas presencia policial,Seguridad,3,4,2023 04 29
cucuta,falta agua potable en varias casas,Salud,1,1,2023 06 13
cali,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 07 01
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 11 03
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 07 30
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 02 06
barranquilla,queremos mas presencia policial,Seguridad,3,4,2023 10 08
cartagena,faltan medicos en el centro de salud,Salud,1,1,2024 09 19
cucuta,falta agua potable en varias casas,Salud,1,1,2023 09 20
barranquilla,faltan medicos en el centro de salud,Salud,1,3,2023 04 13
bucaramanga,faltan medicos en el centro de salud,Salud,1,3,2023 05 11
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 10 12
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 11 10
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 08 14
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 07 12
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 03 03
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 10 06
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 09 01
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 09 26
cucuta,falta agua potable en varias casas,Salud,1,2,2023 05 07
barranquilla,queremos mas presencia policial,Seguridad,3,1,2024 07 01
medellin,falta agua potable en varias casas,Salud,1,1,2024 07 26
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 03 19
barranquilla,faltan medicos en el centro de salud,Salud,1,4,2023 08 02
barranquilla,queremos mas presencia policial,Seguridad,3,1,2023 03 20
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 09 07
cucuta,queremos mas presencia policial,Seguridad,3,4,2024 02 14
bogota,faltan medicos en el centro de salud,Salud,1,4,2023 03 28
bogota,falta agua potable en varias casas,Salud,1,1,2024 08 20
medellin,queremos mas presencia policial,Seguridad,3,2,2023 08 19
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 07 06
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 10 01
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 08 29
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 12 09
cucuta,falta agua potable en varias casas,Salud,1,3,2023 01 25
barranquilla,falta agua potable en varias casas,Salud,1,4,2024 06 28
barranquilla,no hay suficientes escuelas publicas,Educación,2,1,2023 05 17
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 06 14
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 03 09
bucaramanga,queremos mas presencia policial,Seguridad,3,2,2023 04 24
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 01 02
barranquilla,faltan medicos en el centro de salud,Salud,1,3,2023 04 18
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 06 09
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 08 30
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 02 23
bucaramanga,no hay suficientes escuelas publicas,Educación,2,2,2024 03 15
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 04 11
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 03 13
manizales,faltan medicos en el centro de salud,Salud,1,3,2023 02 26
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 10 11
santa marta,faltan medicos en el centro de salud,Salud,1,4,2024 03 05
santa marta,no hay suficientes escuelas publicas,Educación,2,4,2023 03 14
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 03 25
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 07 06
medellin,no hay suficientes escuelas publicas,Educación,2,3,2024 10 22
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 04 25
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 08 13
pereira,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 03 09
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 03 06
bogota,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 11 24
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 04 26
bucaramanga,no hay suficientes escuelas publicas,Educación,2,3,2024 05 25
medellin,faltan medicos en el centro de salud,Salud,1,3,2023 05 18
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 05 31
santa marta,falta agua potable en varias casas,Salud,1,3,2023 11 02
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 03 24
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 07 04
cali,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 11 16
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 10 16
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 10 22
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 04 08
medellin,no hay suficientes escuelas publicas,Educación,2,3,2024 06 13
santa marta,no hay suficientes escuelas publicas,Educación,2,3,2023 06 11
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 11 13
cucuta,queremos mas presencia policial,Seguridad,3,3,2023 05 26
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 06 30
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 12 17
cartagena,faltan medicos en el centro de salud,Salud,1,2,2023 01 05
bogota,queremos mas presencia policial,Seguridad,3,3,2024 02 02
santa marta,faltan medicos en el centro de salud,Salud,1,4,2023 08 23
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 06 12
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 05 01
pereira,queremos mas presencia policial,Seguridad,3,4,2023 01 22
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 04 15
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 03 28
cucuta,faltan medicos en el centro de salud,Salud,1,2,2024 10 21
cucuta,queremos mas presencia policial,Seguridad,3,4,2024 10 12
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 05 03
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 08 05
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 09 13
santa marta,faltan medicos en el centro de salud,Salud,1,4,2024 10 20
bucaramanga,falta agua potable en varias casas,Salud,1,2,2024 10 06
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 06 24
,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 10 27
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 02 05
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 02 15
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 05 03
cartagena,no hay suficientes escuelas publicas,Educación,2,3,2023 12 29
santa marta,faltan medicos en el centro de salud,Salud,1,1,2023 05 08
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 06 25
cartagena,falta agua potable en varias casas,Salud,1,2,2024 01 01
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 06 03
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 11 14
pereira,no hay suficientes escuelas publicas,Educación,2,3,2023 06 07
bogota,no hay suficientes escuelas publicas,Educación,2,3,2024 05 08
manizales,queremos mas presencia policial,Seguridad,3,1,2023 07 19
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 09 19
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 06 20
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 10 22
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 10 15
barranquilla,no hay suficientes escuelas publicas,Educación,2,2,2024 01 10
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 01 19
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 05 02
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 05 21
cartagena,falta agua potable en varias casas,Salud,1,4,2024 07 30
medellin,queremos mas presencia policial,Seguridad,3,2,2023 03 19
bogota,falta agua potable en varias casas,Salud,1,1,2024 01 05
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 11 12
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 12 27
manizales,falta agua potable en varias casas,Salud,1,4,2023 07 04
cartagena,no hay suficientes escuelas publicas,Educación,2,3,2023 11 05
medellin,faltan medicos en el centro de salud,Salud,1,1,2023 10 11
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 03 05
santa marta,faltan medicos en el centro de salud,Salud,1,1,2023 10 02
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 02 10
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 07 26
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 09 30
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 05 29
pereira,no hay suficientes escuelas publicas,Educación,2,3,2023 05 25
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 04 23
barranquilla,queremos mas presencia policial,Seguridad,3,4,2024 05 27
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 05 02
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 02 04
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 06 03
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 02 14
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 02 29
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 09 05
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 02 14
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 04 16
cali,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 04 08
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 04 11
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 09 25
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 05 26
cali,faltan medicos en el centro de salud,Salud,1,2,2023 02 10
pereira,falta agua potable en varias casas,Salud,1,4,2023 06 04
santa marta,faltan medicos en el centro de salud,Salud,1,1,2023 06 01
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 01 03
santa marta,queremos mas presencia policial,Seguridad,3,1,2024 02 16
cucuta,falta agua potable en varias casas,Salud,1,3,2023 10 06
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 01 17
cartagena,faltan medicos en el centro de salud,Salud,1,3,2023 12 29
manizales,falta agua potable en varias casas,Salud,1,2,2024 01 01
,falta agua potable en varias casas,Salud,1,2,2024 05 18
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 02 26
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 10 23
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 08 24
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 03 05
pereira,falta agua potable en varias casas,Salud,1,4,2023 09 18
manizales,faltan medicos en el centro de salud,Salud,1,2,2023 11 23
santa marta,faltan medicos en el centro de salud,Salud,1,3,2023 09 18
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 08 10
pereira,no hay suficientes escuelas publicas,Educación,2,3,2023 06 16
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 05 30
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 05 01
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 07 02
cartagena,queremos mas presencia policial,Seguridad,3,2,2024 11 03
cali,faltan medicos en el centro de salud,Salud,1,2,2024 06 01
pereira,falta agua potable en varias casas,Salud,1,1,2024 01 17
cartagena,falta agua potable en varias casas,Salud,1,1,2024 01 21
cali,falta agua potable en varias casas,Salud,1,2,2024 10 02
santa marta,queremos mas presencia policial,Seguridad,3,2,2023 06 30
santa marta,faltan medicos en el centro de salud,Salud,1,4,2023 06 10
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 11 13
cali,falta agua potable en varias casas,Salud,1,2,2024 01 03
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 11 03
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 09 20
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 09 03
cali,falta agua potable en varias casas,Salud,1,3,2024 06 26
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 09 25
bucaramanga,falta agua potable en varias casas,Salud,1,1,2024 05 12
cartagena,no hay suficientes escuelas publicas,Educación,2,3,2024 01 19
cali,faltan medicos en el centro de salud,Salud,1,1,2023 02 11
barranquilla,faltan medicos en el centro de salud,Salud,1,4,2023 09 08
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 07 30
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 10 10
manizales,queremos mas presencia policial,Seguridad,3,4,2023 08 27
cali,no hay suficientes escuelas publicas,Educación,2,3,2024 03 23
cartagena,faltan medicos en el centro de salud,Salud,1,3,2023 08 31
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 03 12
cucuta,queremos mas presencia policial,Seguridad,3,3,2024 02 09
cali,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 10 31
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 03 15
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 03 07
barranquilla,falta agua potable en varias casas,Salud,1,4,2023 11 07
pereira,no hay suficientes escuelas publicas,Educación,2,2,2024 11 15
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 01 24
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 10 28
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 10 14
santa marta,faltan medicos en el centro de salud,Salud,1,1,2024 11 25
pereira,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 02 07
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 07 26
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 06 21
bogota,queremos mas presencia policial,Seguridad,3,4,2024 04 26
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 10 30
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 07 11
santa marta,falta agua potable en varias casas,Salud,1,3,2023 03 18
medellin,no hay suficientes escuelas publicas,Educación,2,2,2023 04 04
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 05 07
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 03 12
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 06 28
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 11 14
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 08 01
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 09 07
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 10 22
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 03 14
cali,faltan medicos en el centro de salud,Salud,1,4,2023 01 10
cali,no hay suficientes escuelas publicas,Educación,2,3,2024 05 08
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 08 05
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 12 16
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 09 21
pereira,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 06 24
barranquilla,falta agua potable en varias casas,Salud,1,2,2024 04 15
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 09 07
